TAXA,Fe,K,P,Zn,Ca,IP6
SRR5349984,-3.01809385,117.8052107,-98.33292294,-0.243926941,-8.920773107,-0.0032592
SRR5349985,-4.177071902,380.9168894,74.11165426,-1.445396051,-124.0841596,NA
SRR5349986,NA,592.298089,703.884872,2.55435431,-44.78846415,NA
SRR5349987,14.12118095,-273.1562289,-292.1261152,7.523309496,-146.0006745,-0.0040234
SRR5349988,-2.756765877,72.7528973,105.570746,-2.658100177,-102.6579965,NA
SRR5349989,-8.3460649,NA,-61.0377298,NA,-84.53838741,-0.0185599
SRR5349990,2.928218526,-1331.859149,-64.39629647,1.961651704,53.98505915,-0.0079068
SRR5349991,6.254763034,-144.1732847,-179.33181,1.03948004,-56.90029738,NA
SRR5349992,2.029067931,1207.30689,407.082707,-0.387511745,-104.2106694,0.06387532
SRR5349993,-1.320546274,-613.9302538,-375.360942,-1.018875752,-81.13954329,-0.0610039
SRR5349994,6.187966845,80.22571244,214.1075206,NA,-41.26285064,-0.0032841
SRR5349995,-0.154752912,208.8214048,-107.5109241,-4.113431559,-165.1862957,0.01935617
SRR5349996,7.862814254,-559.3800083,-150.8135507,1.230393401,-58.52643641,0.00502076
SRR5349997,NA,NA,NA,2.076406498,-96.52893154,NA
SRR5349998,6.019265151,NA,-133.6454177,6.063090546,NA,0.01423751
SRR5349999,NA,NA,NA,NA,NA,NA
SRR5350000,NA,NA,NA,NA,NA,NA
SRR5350001,-4.267511588,-1281.780399,-139.4027524,-0.105974794,NA,-0.0073895
SRR5350002,NA,NA,NA,NA,365.0629823,NA
SRR5350003,NA,NA,NA,NA,NA,NA
SRR5350004,-1.788339873,701.4095899,132.0244575,-2.61667708,NA,NA
SRR5350005,-3.610588929,336.2878328,48.17894788,1.366170951,-161.4670893,-0.0063587
SRR5350006,NA,NA,NA,NA,-97.21305526,NA
SRR5350007,NA,NA,NA,NA,NA,NA
SRR5350008,NA,NA,NA,NA,NA,NA
SRR5350009,-0.277767563,283.5643391,-395.0941921,-0.254094643,,0.01586551
SRR5350010,-6.945210431,-37.88868392,-23.17112311,-5.319347614,135.0977062,0.02144863
SRR5350011,3.007831826,-17.99123275,488.0656263,4.2968185,-119.6685792,-0.016988
SRR5350012,1.495747506,-15.9569529,206.348681,3.387529901,-86.52906635,NA
SRR5350013,1.61882007,-534.32067,342.5767965,6.686550807,-44.58615938,-0.0124268
SRR5350014,10.03230029,-102.5653649,-280.71933,1.632632605,20.50544235,-0.0329798
SRR5350015,NA,421.1013338,402.5594475,4.86736825,-21.01847206,NA
SRR5350016,-0.374269253,-829.431704,NA,-2.041868477,31.79515456,-0.0168758
SRR5350017,-2.228592519,-609.8583665,NA,-5.902982938,NA,NA
SRR5350018,1.698366449,220.3678952,158.3231744,4.063153626,-211.1373165,-0.0276797
SRR5350019,NA,NA,NA,NA,-185.4196481,NA
SRR5350020,NA,319.1225635,43.30164011,0.781831034,NA,-0.0148071
SRR5350021,-2.147937391,-642.6521777,-91.249265,0.051976573,28.24826486,-0.0298158
SRR5350022,NA,NA,NA,NA,95.78766171,NA
SRR5350023,NA,96.8038796,88.6980528,NA,NA,NA
SRR5350024,7.806809665,433.670495,143.7036685,NA,73.41982475,-0.0097116
SRR5350025,1.119395088,-703.5317729,-136.92315,0.134261674,-85.48726439,NA
SRR5350026,-13.18447468,-809.5308265,NA,-5.222203944,-50.08882201,-0.0299365
SRR5350027,NA,741.4019078,471.2556045,1.134992308,NA,-0.0165495
SRR5350028,-15.0154939,-746.8017997,349.9571002,-3.775632786,NA,NA
SRR5350029,-9.614196052,-708.0282426,-36.95436398,0.003308453,NA,0.04919456
SRR5350030,-7.068920667,-1179.964306,-620.928765,-3.993347355,124.7944118,NA
