taxa,Species,StudyPop,PC1,PC2,PC3
SRR5350203,P. sativum - Central Asia,Included,-65.22031267,89.07858823,9.638137573
SRR5350204,P. sativum,Included,-45.73853665,63.83153694,-6.213923276
SRR5350205,P. sativum subsp. sativum - Primary,Included,30.08273701,-4.754601272,-13.34420599
SRR5350206,P. sativum subsp. sativum - Primary,Included,32.43212678,-5.985104016,-6.744181563
SRR5350207,P. sativum subsp. sativum - Primary,Included,31.67881491,-9.441590221,-6.266459235
SRR5350208,P. sativum,Included,19.0235405,-4.27707919,-22.91541719
SRR5350209,P. sativum,Included,25.8884346,-5.307028033,-16.77357856
SRR5350210,P. sativum - Central Asia,Included,-97.52224152,132.6448492,33.32921673
SRR5350211,P. sativum subsp. sativum - Primary,Included,30.14722036,-0.946900405,5.108885302
SRR5350212,P. sativum subsp. sativum - Primary,Included,13.66836651,13.74413897,-8.485094331
SRR5350213,P. sativum,Included,13.48775789,-0.188143147,-34.2687512
SRR5350215,P. sativum - Central Asia,Included,-82.45766749,111.0689882,28.42455509
